nohup: ignoring input
epoch 202 loss: 254878.1875
epoch 203 loss: 253773.234375
epoch 204 loss: 252675.671875
epoch 205 loss: 251586.046875
epoch 206 loss: 250504.140625
epoch 207 loss: 249429.28125
epoch 208 loss: 248362.578125
epoch 209 loss: 247303.515625
epoch 210 loss: 246251.140625
epoch 211 loss: 245206.8125
epoch 212 loss: 244169.0
epoch 213 loss: 243138.859375
epoch 214 loss: 242115.734375
epoch 215 loss: 241099.1875
epoch 216 loss: 240090.125
epoch 217 loss: 239087.5
epoch 218 loss: 238091.984375
epoch 219 loss: 237103.390625
epoch 220 loss: 236121.234375
epoch 221 loss: 235145.421875
epoch 222 loss: 234176.6875
epoch 223 loss: 233213.78125
epoch 224 loss: 232257.8125
epoch 225 loss: 231308.234375
epoch 226 loss: 230364.6875
epoch 227 loss: 229427.703125
epoch 228 loss: 228496.859375
epoch 229 loss: 227571.96875
epoch 230 loss: 226653.140625
epoch 231 loss: 225740.796875
epoch 232 loss: 224833.953125
epoch 233 loss: 223933.5
epoch 234 loss: 223038.46875
epoch 235 loss: 222149.6875
epoch 236 loss: 221266.515625
epoch 237 loss: 220389.390625
epoch 238 loss: 219517.28125
epoch 239 loss: 218651.296875
epoch 240 loss: 217790.65625
epoch 241 loss: 216935.578125
epoch 242 loss: 216086.15625
epoch 243 loss: 215242.3125
epoch 244 loss: 214404.078125
epoch 245 loss: 213570.265625
epoch 246 loss: 212742.890625
epoch 247 loss: 211920.140625
epoch 248 loss: 211103.03125
epoch 249 loss: 210290.421875
epoch 250 loss: 209483.453125
epoch 251 loss: 208681.875
epoch 252 loss: 207885.203125
epoch 253 loss: 207093.625
epoch 254 loss: 206306.671875
epoch 255 loss: 205524.96875
epoch 256 loss: 204748.015625
epoch 257 loss: 203976.421875
epoch 258 loss: 203209.09375
epoch 259 loss: 202447.21875
epoch 260 loss: 201689.578125
epoch 261 loss: 200937.015625
epoch 262 loss: 200188.96875
epoch 263 loss: 199445.515625
epoch 264 loss: 198707.09375
epoch 265 loss: 197972.765625
epoch 266 loss: 197243.546875
epoch 267 loss: 196518.4375
epoch 268 loss: 195797.84375
epoch 269 loss: 195082.3125
epoch 270 loss: 194370.59375
epoch 271 loss: 193663.6875
epoch 272 loss: 192961.140625
epoch 273 loss: 192262.71875
epoch 274 loss: 191568.59375
epoch 275 loss: 190878.859375
epoch 276 loss: 190193.359375
epoch 277 loss: 189512.28125
epoch 278 loss: 188835.09375
epoch 279 loss: 188162.1875
epoch 280 loss: 187493.375
epoch 281 loss: 186829.078125
epoch 282 loss: 186168.421875
epoch 283 loss: 185511.828125
epoch 284 loss: 184859.578125
epoch 285 loss: 184211.046875
epoch 286 loss: 183566.234375
epoch 287 loss: 182925.84375
epoch 288 loss: 182289.203125
epoch 289 loss: 181656.40625
epoch 290 loss: 181027.640625
epoch 291 loss: 180402.390625
epoch 292 loss: 179781.265625
epoch 293 loss: 179163.671875
epoch 294 loss: 178549.765625
epoch 295 loss: 177940.0
epoch 296 loss: 177333.75
epoch 297 loss: 176731.0625
epoch 298 loss: 176131.71875
epoch 299 loss: 175536.375
epoch 300 loss: 174944.890625
epoch 301 loss: 174356.609375
epoch 302 loss: 173771.953125
epoch 303 loss: 173190.671875
epoch 304 loss: 172613.078125
epoch 305 loss: 172038.90625
epoch 306 loss: 171467.984375
epoch 307 loss: 170900.859375
epoch 308 loss: 170337.21875
epoch 309 loss: 169776.875
epoch 310 loss: 169219.8125
epoch 311 loss: 168665.8125
epoch 312 loss: 168115.296875
epoch 313 loss: 167568.265625
epoch 314 loss: 167024.4375
epoch 315 loss: 166483.796875
epoch 316 loss: 165946.359375
epoch 317 loss: 165412.21875
epoch 318 loss: 164881.125
epoch 319 loss: 164353.21875
epoch 320 loss: 163828.421875
epoch 321 loss: 163307.0
epoch 322 loss: 162788.125
epoch 323 loss: 162273.0625
epoch 324 loss: 161760.546875
epoch 325 loss: 161251.1875
epoch 326 loss: 160744.90625
epoch 327 loss: 160241.640625
epoch 328 loss: 159741.21875
epoch 329 loss: 159243.8125
epoch 330 loss: 158749.3125
epoch 331 loss: 158258.25
epoch 332 loss: 157769.46875
epoch 333 loss: 157283.203125
epoch 334 loss: 156800.328125
epoch 335 loss: 156320.15625
epoch 336 loss: 155843.03125
epoch 337 loss: 155368.359375
epoch 338 loss: 154896.734375
epoch 339 loss: 154428.09375
epoch 340 loss: 153961.796875
epoch 341 loss: 153498.296875
epoch 342 loss: 153037.140625
epoch 343 loss: 152579.234375
epoch 344 loss: 152123.453125
epoch 345 loss: 151670.890625
epoch 346 loss: 151220.890625
epoch 347 loss: 150773.203125
epoch 348 loss: 150328.328125
epoch 349 loss: 149885.875
epoch 350 loss: 149446.125
epoch 351 loss: 149008.578125
epoch 352 loss: 148573.890625
epoch 353 loss: 148141.546875
epoch 354 loss: 147711.8125
epoch 355 loss: 147284.578125
epoch 356 loss: 146859.734375
epoch 357 loss: 146437.40625
epoch 358 loss: 146017.453125
epoch 359 loss: 145599.65625
epoch 360 loss: 145184.421875
epoch 361 loss: 144771.75
epoch 362 loss: 144361.484375
epoch 363 loss: 143953.1875
epoch 364 loss: 143547.484375
epoch 365 loss: 143144.15625
epoch 366 loss: 142742.734375
epoch 367 loss: 142343.90625
epoch 368 loss: 141947.25
epoch 369 loss: 141552.734375
epoch 370 loss: 141160.671875
epoch 371 loss: 140770.78125
epoch 372 loss: 140382.90625
epoch 373 loss: 139997.4375
epoch 374 loss: 139614.140625
epoch 375 loss: 139232.921875
epoch 376 loss: 138853.84375
epoch 377 loss: 138476.984375
epoch 378 loss: 138102.078125
epoch 379 loss: 137729.5
epoch 380 loss: 137358.796875
epoch 381 loss: 136989.953125
epoch 382 loss: 136623.546875
epoch 383 loss: 136259.21875
epoch 384 loss: 135896.5625
epoch 385 loss: 135536.0
epoch 386 loss: 135177.5625
epoch 387 loss: 134821.296875
epoch 388 loss: 134466.640625
epoch 389 loss: 134114.21875
epoch 390 loss: 133763.75
epoch 391 loss: 133415.03125
epoch 392 loss: 133068.265625
epoch 393 loss: 132723.40625
epoch 394 loss: 132380.671875
epoch 395 loss: 132039.578125
epoch 396 loss: 131700.21875
epoch 397 loss: 131362.953125
epoch 398 loss: 131027.6015625
epoch 399 loss: 130693.8828125
epoch 400 loss: 130362.2109375
epoch 401 loss: 130032.0859375
epoch 402 loss: 129704.046875
epoch 403 loss: 129377.734375
epoch 404 loss: 129052.890625
epoch 405 loss: 128730.15625
epoch 406 loss: 128408.8828125
epoch 407 loss: 128089.5703125
epoch 408 loss: 127771.75
epoch 409 loss: 127455.703125
epoch 410 loss: 127141.5234375
epoch 411 loss: 126828.65625
epoch 412 loss: 126518.03125
epoch 413 loss: 126208.9375
epoch 414 loss: 125901.1171875
epoch 415 loss: 125595.2265625
epoch 416 loss: 125290.84375
epoch 417 loss: 124988.3046875
epoch 418 loss: 124687.109375
epoch 419 loss: 124387.296875
epoch 420 loss: 124089.7109375
epoch 421 loss: 123793.4765625
epoch 422 loss: 123498.5703125
epoch 423 loss: 123205.4765625
epoch 424 loss: 122913.609375
epoch 425 loss: 122623.4765625
epoch 426 loss: 122335.140625
epoch 427 loss: 122047.796875
epoch 428 loss: 121762.3828125
epoch 429 loss: 121478.34375
epoch 430 loss: 121195.7578125
epoch 431 loss: 120914.4140625
epoch 432 loss: 120634.828125
epoch 433 loss: 120356.6015625
epoch 434 loss: 120079.9375
epoch 435 loss: 119804.6640625
epoch 436 loss: 119530.4765625
epoch 437 loss: 119258.1484375
epoch 438 loss: 118987.046875
epoch 439 loss: 118717.359375
epoch 440 loss: 118449.2421875
epoch 441 loss: 118182.328125
epoch 442 loss: 117916.4609375
epoch 443 loss: 117652.5390625
epoch 444 loss: 117389.734375
epoch 445 loss: 117128.1484375
epoch 446 loss: 116868.1640625
epoch 447 loss: 116609.21875
epoch 448 loss: 116351.59375
epoch 449 loss: 116095.375
epoch 450 loss: 115840.2265625
epoch 451 loss: 115586.9453125
epoch 452 loss: 115334.609375
epoch 453 loss: 115083.5546875
epoch 454 loss: 114833.78125
epoch 455 loss: 114585.3125
epoch 456 loss: 114337.921875
epoch 457 loss: 114091.890625
epoch 458 loss: 113846.890625
epoch 459 loss: 113603.2578125
epoch 460 loss: 113361.2421875
epoch 461 loss: 113120.046875
epoch 462 loss: 112880.0234375
epoch 463 loss: 112641.078125
epoch 464 loss: 112403.453125
epoch 465 loss: 112167.1640625
epoch 466 loss: 111931.859375
epoch 467 loss: 111697.890625
epoch 468 loss: 111464.984375
epoch 469 loss: 111232.9140625
epoch 470 loss: 111002.2734375
epoch 471 loss: 110773.046875
epoch 472 loss: 110544.5
epoch 473 loss: 110317.5625
epoch 474 loss: 110091.1875
epoch 475 loss: 109865.9765625
epoch 476 loss: 109641.8984375
epoch 477 loss: 109419.3203125
epoch 478 loss: 109197.515625
epoch 479 loss: 108976.7734375
epoch 480 loss: 108756.90625
epoch 481 loss: 108538.25
epoch 482 loss: 108320.828125
epoch 483 loss: 108104.2109375
epoch 484 loss: 107888.8515625
epoch 485 loss: 107674.265625
epoch 486 loss: 107460.8203125
epoch 487 loss: 107248.671875
epoch 488 loss: 107037.3203125
epoch 489 loss: 106826.8828125
epoch 490 loss: 106617.484375
epoch 491 loss: 106408.8984375
epoch 492 loss: 106201.6328125
epoch 493 loss: 105995.1484375
epoch 494 loss: 105789.8046875
epoch 495 loss: 105585.3125
epoch 496 loss: 105381.828125
epoch 497 loss: 105179.15625
epoch 498 loss: 104977.6796875
epoch 499 loss: 104776.8984375
epoch 500 loss: 104577.2890625
epoch 501 loss: 104378.296875
epoch 502 loss: 104180.578125
