nohup: ignoring input
epoch 0 loss: 19485460.0
epoch 1 loss: 19454898.0
epoch 2 loss: 19424384.0
epoch 3 loss: 19393914.0
epoch 4 loss: 19363508.0
epoch 5 loss: 19333146.0
epoch 6 loss: 19302876.0
epoch 7 loss: 19272642.0
epoch 8 loss: 19242422.0
epoch 9 loss: 19212292.0
epoch 10 loss: 19182144.0
epoch 11 loss: 19152106.0
epoch 12 loss: 19122098.0
epoch 13 loss: 19092142.0
epoch 14 loss: 19062196.0
epoch 15 loss: 19032334.0
epoch 16 loss: 19002504.0
epoch 17 loss: 18972740.0
epoch 18 loss: 18943012.0
epoch 19 loss: 18913354.0
epoch 20 loss: 18883752.0
epoch 21 loss: 18854206.0
epoch 22 loss: 18824700.0
epoch 23 loss: 18795256.0
